date,house_size,bed,bath,price,broker,street,city,state_name,zip_code
"AUG 29, 2024","1,000 sqft",3bd,3bd,"$310,000","Signature Realty Group, LLC, Closed",7807 Merrimac Ave, Burbank,Illinois,60459
"AUG 29, 2024","1,800 sqft",5bd,5bd,"$320,000","Exit Strategy Realty / EMA Management, Closed",7629 S  May St, Chicago,Illinois,60620
"AUG 29, 2024","1,000 sqft",2bd,2bd,"$120,000","Kale Realty, Closed",7841 S  Seeley Ave, Chicago,Illinois,60620
"AUG 29, 2024",,,,"$3,500","The Leading Realtors Corp., Closed",8036 S  Bishop St, Chicago,Illinois,60620
"AUG 29, 2024","1,152 sqft",4bd,4bd,"$245,000","Chicago Area Realty Inc, Closed",8223 S  Muskegon Ave, Chicago,Illinois,60617
"AUG 29, 2024",760 sqft,3bd,3bd,"$49,900","Royal Crest Realty, Inc., Closed",8437 S  Exchange Ave, Chicago,Illinois,60617
"AUG 29, 2024","2,393 sqft (on 0.30 acres)",3bd,3bd,"$362,000","Keller Williams Preferred Realty, Closed",10101 S  88th Ave, Palos Hills,Illinois,60465
"AUG 29, 2024","1,644 sqft",2bd,2bd,"$210,000","Coldwell Banker Realty, Closed",2 Cour Madeleine, Palos Hills,Illinois,60465
"AUG 29, 2024","1,593 sqft",4bd,4bd,"$350,000","Grandview Realty, LLC, Closed",9633 Austin Ave, Oak Lawn,Illinois,60453
"AUG 29, 2024",979 sqft,2bd,2bd,"$183,500","RE/MAX 10, Closed",4923 W  99th St, Oak Lawn,Illinois,60453
"AUG 29, 2024","1,253 sqft",2bd,2bd,"$260,000","Real Broker, LLC, Closed",10948 S  Kedzie Ave, Chicago,Illinois,60655
"AUG 29, 2024",900 sqft,2bd,2bd,"$145,000","eXp Realty, LLC, Closed",4827 W  109th St #7301, Oak Lawn,Illinois,60453
"AUG 29, 2024","1,032 sqft",3bd,3bd,"$101,000","P.R.S. Associates, Inc., Closed",2438 Cochran St, Blue Island,Illinois,60406
"AUG 29, 2024","1,000 sqft (on 25 acres)",3bd,3bd,"$138,000","Kale Realty, Closed",8944 S  Jeffery Blvd, Chicago,Illinois,60617
"AUG 29, 2024","1,986 sqft",5bd,5bd,"$255,000","Berkshire Hathaway HomeServices Chicago, Closed",1035 W  92nd Pl, Chicago,Illinois,60620
"AUG 29, 2024","1,281 sqft",5bd,5bd,"$335,000","eXp Realty, LLC, Closed",1706 W  92nd St, Chicago,Illinois,60620
"AUG 29, 2024",,4bd,4bd,"$290,000","Homes Realty of Chicago Inc, Closed",9956 S  Union Ave, Chicago,Illinois,60628
"AUG 29, 2024","1,718 sqft",4bd,4bd,"$277,000","HomeSmart Realty Group, Closed",9636 S  Greenwood Ave, Chicago,Illinois,60628
