date,bed,bath,price,broker,street,city,state_name,zip_code,house_sqft
2024-08-27,4.0,4.0,650000.0,Keller Williams Realty Nville,34 Derby Downs Cir, Niceville,Florida,32578,2690.0
2024-08-27,4.0,4.0,535000.0,The Property Group 850 Inc,6082 Walk Along Way, Crestview,Florida,32536,2770.0
2024-08-27,3.0,3.0,550000.0,Unknown,15724 NW State Road 20, Bristol,Florida,32321,2000.0
2024-08-27,3.0,3.0,230000.0,Lokation,264 Pinelog St, Freeport,Florida,32439,1404.0
2024-08-27,3.0,3.0,210000.0,Timber & Tides Real Estate,45 Cochise St, Crawfordville,Florida,32327,1225.0
2024-08-27,4.0,4.0,289900.0,"D R Horton Realty of NW Florida, LLC",4932 Valor Ct, Pace,Florida,32571,1957.0
2024-08-27,5.0,5.0,501475.0,Unknown,596 Vermilion Cir, Pt Saint Joe,Florida,32456,2511.0
2024-08-27,4.0,4.0,399050.0,DSLD Homes Florida LLC,47 Cherry Blossom Ln, Freeport,Florida,32439,2092.0
2024-08-27,3.0,3.0,284900.0,"D R Horton Realty of NW Florida, LLC",1734 Candleglow St, Gulf Breeze,Florida,32563,1537.0
2024-08-27,2.0,2.0,285000.0,Eagle Bay Real Estate,102 Penny Ln, Valparaiso,Florida,32580,1036.0
2024-08-27,4.0,4.0,269900.0,"D R Horton Realty of NW Florida, LLC",6195 June Bug Dr, Milton,Florida,32583,1439.0
2024-08-27,3.0,3.0,221900.0,"D R Horton Realty of NW Florida, LLC",8662 Meadow Flower Ln, Pensacola,Florida,32514,1553.0
2024-08-27,4.0,4.0,328900.0,DR Horton Realty North West FL,67 Spears Crossing Ln, Crawfordville,Florida,32327,1787.0
2024-08-27,3.0,3.0,655679.0,Unknown,965 Breakfast Point Blvd, Panama City Beach,Florida,32407,2585.0
2024-08-27,4.0,4.0,368900.0,"D R Horton Realty of NW Florida, LLC",3273 Grouse Rd, Pace,Florida,32571,1774.0
2024-08-27,3.0,3.0,329000.0,Teel & Waters Real Estate Company Inc,177 N  Marsh Lndg, Freeport,Florida,32439,1454.0
2024-08-27,4.0,4.0,276275.0,Unknown,2398 Windbrook St, Chipley,Florida,32428,1799.0
2024-08-27,4.0,4.0,319900.0,DR Horton Realty of Emerald Coast LLC,40 Sawbrier St, Freeport,Florida,32439,1799.0
2024-08-27,2.0,2.0,160000.0,"Armor Realty, Inc",2492 Thundell Dr, Tallahassee,Florida,32303,1229.0
2024-08-27,3.0,3.0,400000.0,Tallahassee Homes Realty LLC,4215 Thibodeax Trl, Tallahassee,Florida,32317,1551.0
2024-08-27,3.0,3.0,379900.0,Waypoint Properties,72 Sierra Ln, Crawfordville,Florida,32327,1870.0
2024-08-27,1.0,1.0,248000.0,Unknown,6909 N  Lagoon Dr #D3, Panama City,Florida,32408,580.0
2024-08-27,3.0,3.0,227000.0,Unknown,2911 Simmons Ln, Ponce De Leon,Florida,32455,2052.0
2024-08-27,4.0,4.0,1085000.0,RE/MAX GULF PROPERTIES,13942 River Rd #4, Perdido Key,Florida,32507,2777.0
2024-08-26,3.0,3.0,262500.0,Unknown,2524 Stanford Rd, Panama City,Florida,32405,1842.0
2024-08-26,4.0,4.0,510000.0,Unknown,3200 W  16th St, Panama City,Florida,32401,1122.0
2024-08-26,3.0,3.0,426500.0,Unknown,166 Rusty Gans Dr, Panama City Beach,Florida,32408,1780.0
2024-08-26,2.0,2.0,1200000.0,Unknown,17927 Front Beach Rd #3, Panama City Beach,Florida,32413,1666.0
2024-08-26,3.0,3.0,335000.0,Levin Rinke Realty,2120 John Carroll Dr, Pensacola,Florida,32504,1832.0
2024-08-26,3.0,3.0,210000.0,Levin Rinke Realty,203 Payne Rd, Perdido Key,Florida,32507,1693.0
2024-08-26,3.0,3.0,290000.0,Better Homes And Gardens Real Estate Main Street Properties,7666 Old Hickory Dr, Perdido Key,Florida,32507,1371.0
2024-08-26,5.0,5.0,1150000.0,RE/MAX OF ORANGE BEACH,14860 Innerarity Point Rd, Perdido Key,Florida,32507,2936.0
2024-08-26,5.0,5.0,399900.0,KELLER WILLIAMS REALTY GULF COAST,2020 Hamilton Xing, Cantonment,Florida,32533,2850.0
2024-08-26,4.0,4.0,299000.0,CENTURY 21 AMERISOUTH REALTY,2510 Jeter Rd, Cantonment,Florida,32533,2054.0
2024-08-26,3.0,3.0,330000.0,Coldwell Banker Realty,1045 E  Maxwell St, Pensacola,Florida,32503,1419.0
2024-08-26,3.0,3.0,250000.0,"Karen Cobb, Alliance Real Estate, Closed",2007 N  11th Ave, Pensacola,Florida,32503,1232.0
2024-08-26,2.0,2.0,183500.0,Destination Real Estate Corp,2029 Tallavana Trl, Havana,Florida,32333,1040.0
2024-08-26,2.0,2.0,270000.0,"Beach Realty of Cape San Blas, Inc.",1306 Long Ave, Port Saint Joe,Florida,32456,1049.0
